Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
961;5;130;ESSEDCWPR;PÓŁKA NA RĘCZNIKI ESSENTIALS CUBE 558MM;40512001;CHROM;B;1.000;;1161128;S;GRHE01;14262306;1;3000;SXA;SCA;03826;
962;5;130;#CXRP1;LINIOWY ODPŁYW PRYSZNICOWY 800 MM Z;92683050460304;ODPŁYWEM PROSTYM ARCO FI 50;;1.000;;1161209;G;CASW01;14270900;1;1000;TMP;TMP;03762;
963;5;130;ZNANDVSP125;ANEMOSTAT NAWIEWNY DVS-P DN125;800800896;;B;6.000;;1170116;K;ZEWR01;14270983;1;8000;STB;SCB;03737;
964;5;130;ZNANDVSP125;ANEMOSTAT NAWIEWNY DVS-P DN125;800800896;;B;6.000;;1170116;K;ZEWR01;14270984;1;8000;STB;SCB;03737;
965;5;130;QUADBWSCZN;BATERIA WANNOWA QUADRA ŚCIENNA;32639000;Z ZEST. NATRYSK. CHROM;B;1.000;;1161220;S;GRHE01;14271171;1;30000;STE;SCE;03675;
966;5;130;EURCBZST14ZO;BATERIA ZLEWOZMYWAKOWA EUROSMART COSMOP.;30195000;STOJĄCA 144MM Z ZAWOREM ODCI. CHROM;B;1.000;;1161220;S;GRHE01;14271171;1;34000;STE;SCE;03675;
967;5;130;EURCBZST14ZO;BATERIA ZLEWOZMYWAKOWA EUROSMART COSMOP.;30195000;STOJĄCA 144MM Z ZAWOREM ODCI. CHROM;B;1.000;;1161220;S;GRHE01;14271171;1;50000;STE;SCE;03675;
968;5;130;MEI105222;SPINKA Z MOSTKIEM CYRKULACYJNYM 45-65°C;105222;.;B;2.000;;1170118;G;MELE01;14281120;1;1000;STE;SCE;03513;
969;5;130;KHG714101410;KOLANO 60/100MM 90° (PRZY KOTLE) TURBO S;KHG71410141B;PALINY-POWIETRZE;B;3.000;;1170120;G;DDWR01;14282311;1;4000;STG;SCG;03737;
970;5;130;#BX7;NASADA 75 G2 1/2 PN ALUMINIOWA Z GWINTEM;NASADA 75 2 1/2";WEWNĘTRZNYM;;2.000;;1160930;I;BOPI01;14023791;1;1000;STB;SCB;03740;
971;5;130;#BX7;POKRYWA NASADY 75 PN ALUMINIOWA;POKRYWA NASADY 75 PN;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1160930;I;BOPI01;14023791;1;2000;STB;SCB;03740;
972;5;130;GC9000IWM3015B;KOCIOŁ BOSCH CONDENS GC9000IWM 30/150SB;7738100728;GAZOWY KONDENSACYJNY STOJĄCY CZARNY;B;1.000;;1170112;G;BOWA02;14270586;1;2000;TMP;TMP;03675;
973;5;130;TONIIMWBDW;MISKA WISZĄCA TONIC II BEZRANTOWA BIAŁA;K316501;Z DESKĄ SEDESOWĄ WOLNOOPADAJĄCĄ;B;1.000;;1170105;S;IDWR01;14276032;1;3000;STF;SCF;03681;
974;5;130;WASHWP18080DUO;WANNA PROSTOKĄTNA WASHPOINT DUO 180x80;K607301;BIAŁA DO ZABUDOWY BEZ NÓG;B;1.000;;1170105;S;IDWR01;14276032;1;4000;STF;SCF;03681;
975;5;130;TONICWPN;NOGI DO WANNY;K727467;.;B;1.000;;1170105;S;IDWR01;14276032;1;5000;STF;SCF;03681;
976;5;130;ISEPBU;ELEMENT PODTYNKOWY IDEALSTANDARD DO;A5948NU;BATERII UMYWALKOWEJ;B;2.000;;1170105;S;IDWR01;14276032;1;7000;STF;SCF;03681;
977;5;130;IDERCLGN2030;GŁOWICA NATRYSKU IDEAL RAIN CUBE LUXE;B0390MY;20x30CM PROSTOKĄTNA B/RAMIENIA CHROM;B;1.000;;1170105;S;IDWR01;14276032;1;10000;STF;SCF;03681;
978;5;130;IDERRNSC40;! RAMIĘ DO GŁOWICY IDEAL RAIN ŚCI. 400MM;B9445AA;DN15 CHROM;B;1.000;;1170105;S;IDWR01;14276032;1;11000;STF;SCF;03681;
979;5;130;#ISAS;NIEZAMYKALNY KOREK;J3291AA;CENNIK OD 09.01.2017;;2.000;;1170105;S;IDWR01;14276032;1;16000;STF;SCF;03681;
980;5;130;#ISAKX;ZEST. ODPŁYWOWO-PRZELEWOWY MULTIPLX TRIO;K7812AA;Z NAPEŁNIANIEM;;1.000;;1170105;S;IDWR01;14276032;1;17000;STF;SCF;03681;
981;5;130;MELBUSTBM;! BATERIA UMYWALKOWA MELANGE STOJĄCA;A4287AA;BEZ/MECH.ZAM. CHROM;B;1.000;;1170105;S;IDWR01;14276032;1;36000;STF;SCF;03681;
982;5;130;GESIPLPS20SI1;PRZYCISK SIGMA70 PRZEDNI BIAŁY;115620SI1;.;B;1.000;;1170109;S;GEWA01;14275639;1;16000;STF;SCF;03648;
983;5;130;GESIPLPS20FW1;PRZYCISK SIGMA70 PRZEDNI STAL NIERDZ.;115620FW1;;B;1.000;;1170109;S;GEWA01;14275639;1;43000;STF;SCF;03648;
984;5;130;TCMRT2516;ZŁĄCZKA REDUKCYJNA  25x16 TWORZYWO;736504;TECEFLEX;B;20.000;;1170118;I;TEST01;14279286;1;7000;STE;SCE;03675;
985;5;130;DA013G3133;ROZETKI I RURKI MASKUJĄCE DO ZAWORÓW;013G3133;DANFOSS X-TRA COLLECTION CHROM;B;1.000;;1170116;G;DACH10;14279691;1;1000;SXB;SCB;03335;
986;5;130;GEMSEKO33806;KOLANO 90° 28x1"GW STAL SZLACHETNA;33806;MAPRESS;L;1.000;;1161215;I;GEWA01;14267289;1;5000;STE;SCE;03675;
987;5;130;GEMSEKO30105;KOLANO 90° 28 STAL SZLACHETNA MAPRESS;30105;;L;8.000;;1161215;I;GEWA01;14267289;1;6000;STE;SCE;03675;
988;5;130;GEMSEKO31106;KOLANO 90° 35 STAL SZLACHETNA MAPRESS;31106;;B;5.000;;1161215;I;GEWA01;14267289;1;7000;STE;SCE;03675;
989;5;130;RMPSTR07622;TRÓJNIK REDUKCYJNY   76.1x22x76.1 STEEL;392076022;STAL WĘGLOWA;B;2.000;;1160530;I;RMMA01;14200930;1;25000;STE;SCE;03513;
990;5;130;RMPSR04222;REDUKCJA      42x22 STEEL;391042022;STAL WĘGLOWA;L;2.000;;1160530;I;RMMA01;14200930;1;29000;STE;SCE;03513;
991;5;130;RLVS15KN;ZAWÓR RLV-S DN15 1/2" KĄTOWY;003L0123;ŚRUBUNEK POWROTNY GRZEJNIKOWY;B;1.000;;1150212;G;DACH10;14080850;1;1000;STC;SCC;03843;
992;5;130;GESIPLPS82KM1;PRZYCISK SIGMA20 CZARNY-CHROM;115882KM1;BŁ-CZARNY;B;1.000;;1170109;S;GEWA01;14276032;1;29000;STF;SCF;03681;
993;5;130;TMGRTSA;TRÓJNIK 1/2"x1/2"x1/2"  SATYNA;WRT1C2SMA;.;B;1.000;;1151028;G;TEGD01;14149401;1;2000;GR4;GR4;03740;
994;5;130;TMGRKTXEG04;ELEMENT GRZEJNY TERMA SPLIT TS  400W;WETS104KD;L=345MM;B;1.000;;1161230;G;TEGD01;14276474;1;54000;STF;SCF;03332;
995;5;130;WHITEBAUSTWBM;BATERIA UMYWALKOWA WHITE STOJĄCA WYSOKA;744222810025;BEZ/MECH.ZAM. VIGOUR CHROM;B;1.000;;1170105;S;OROL01;14275746;1;5000;STF;SCF;03681;
996;5;130;STARRN2S;RĄCZKA NATRYSKU STARCK 2 JET CHROM;28532000;;B;1.000;;1170105;S;HATA01;14275852;1;9000;STC;SCC;03648;
997;5;130;*ZKCZ;PKDK ZESTAW ZAWIESZEK DO KABINY KWADRA.;;(2X GÓRNE + 2X DOLNE);;2.000;;1161028;S;GEWA01;14250015;1;1000;SXB;SCB;03648;
998;5;130;RMPSMP015;MUFA PRZESUWNA   15 STEEL;383015001;STAL WĘGLOWA;L;4.000;;1160609;I;RMMA01;14210183;1;11000;STE;SCE;03675;
999;5;130;BRXA7667332;CZUJNIK TEMPERATURY CWU DO PWHC  NTC;7667332;;B;1.000;;1161221;G;BRRA01;14268889;1;10000;TMP;TMP;03740;
1000;5;130;BRXA7667370;ODPOWIETRZNIK AUTOMATYCZNY DO PWHC;7667370;;B;1.000;;1161221;G;BRRA01;14268889;1;11000;TMP;TMP;03740;
1001;5;130;BRXA7667355;WTYCZKA ELEKTRODY DO PWHC;7667355;;B;1.000;;1161221;G;BRRA01;14268889;1;12000;TMP;TMP;03740;
1002;5;130;#HWAN;WIESZAK NA RĘCZNIK SYS.100 HAK PODWÓJNY;1009003040;CHROM;;1.000;;1161103;S;HEAR01;14238015;1;7000;SXB;SCB;03648;
1003;5;130;*AFRC;MANOMETR KP100 0÷ 25MBAR 1/2";;PUSZKOWY KRÓCIEC TYLNY KL. 1.6;;1.000;;1151116;G;AFCZ01;14145395;1;1000;SXC;SCC;03750;
1004;5;130;*MBNB;TRZPIEŃ MOCUJĄCY 280MM;;;;1.000;;1160125;I;MESS01;14164730;1;1000;SXE;SCE;03513;
1005;5;130;CROMARNSE1JB;RĄCZKA NATRYSKOWA CROMA SELECT E 1JET;26814400;BIAŁA/CHROM;B;1.000;;1170112;S;HATA01;14276474;1;43000;STF;SCF;03332;
1006;5;130;#HUXX;USZCZELKA DOLNA KABINY PÓŁOKRĄGŁEJ 90;069729.034;JJ NA BRODZIKU MARANO;;1.000;;1160414;S;HUPO01;14194897;1;1000;STX;STX;03648;
1007;5;130;ABPM15;ZAWÓR REGUL. AB-PM 15    GZ   3/4";003Z1402;.;B;1.000;;1161103;G;DACH10;14242619;1;17000;STE;SCE;03675;
1008;5;130;ABPMXADAPT;ADAPTER DO RURKI IMPULSOWEJ 3/8"-1/16";003L5042;.;B;1.000;;1161103;G;DACH10;14242619;1;18000;STE;SCE;03675;
1009;5;130;TEMPSOFT740500;ZAWÓR UMYWALKOWY STOJĄCY TEMPOSOFT 2;740500;SAMOZAMYKAJĄCY CHROM;B;1.000;;1150914;S;DEWA01;14122100;1;6000;SXB;SCB;03740;
1010;5;130;*TCK;PRZEPŁYWOMIERZ 0,5-3,5 L/MIN Z NYPLEM 1/;;2"x3/4" EURO TECEFLOOR;;1.000;;1141209;I;TEST01;14066507;1;1000;STC;SCC;03748;
1011;5;130;*AASP;PROFIL PROGOWY 90CM DO DRZWI;;CHROM OPTIC DO SANITAPLUS;;2.000;;1161227;S;AQKI01;14272682;1;1000;STC;SCC;03648;
1012;5;130;TON2BUPEN18;BATERIA UMYWALKOWA TONIC II PODTYNKOWA;A6334AA;WYLEWKA 180MM CHROM DO A5948NU;B;1.000;;1170119;S;IDWR01;14276032;1;6000;STF;SCF;03681;
1013;5;130;AQAZNPKUNZZ;PRZYŁĄCZE KĄTOWE WĘŻA A-QA Z UCHWYTEM;655600500;NATRYSKU Z ZAWOREM ZWROTNYM DN15 CHROM;B;1.000;;1170111;S;KLOP01;14273362;1;20000;STF;SCF;03681;
1014;5;130;HAFARKO303Z;BLOKADA POPRZECZNA RUSZTÓW ŻELIWNYCH;98210;98210;B;15.000;;1161215;Z;HAPO01;14270868;1;1000;SXA;SCA;03630;
1015;5;130;UPEZDS50063;ZŁĄCZKA DWUSTRONNA WIPEX  63x 5.8;1042981;ECOFLEX;B;2.000;;1161125;G;UPSO01;14252920;1;7000;STC;SCC;03510;
1016;5;130;AGV16W;ZŁĄCZKA ZACISKOWA 3/4"GW/16x2.0MM DO RUR;1507935;WIELOWARSTWOWYCH (FAKTUROWAĆ 2 SZT.);B;2.000;;1161207;G;OVST01;14267614;1;2000;STE;SCE;03513;
1017;5;130;WBP50BS;PIERŚCIEŃ Q&E NATURAL   50 ZE STOPEREM;1045489;PE-XA;B;4.000;;1160715;I;UPSO01;14221111;1;4000;SXC;SCC;03510;
1018;5;130;WBZT40;ZŁĄCZKA PROSTA Q&E PPSU 40x40 PE-XA;1008673;;B;2.000;;1160715;I;UPSO01;14221111;1;12000;SXC;SCC;03510;
1019;5;130;ORIBWPB;BATERIA WANNOWA ORIGINS PODTYNKOWA;ORI147ACP;CHROM;B;1.000;;1170117;S;VACH01;14274577;1;5000;STF;SCF;03680;
1020;5;130;CFTMN08;COSMOFLOOR ROZDZIELACZ CO TMN 8 OBW.;TMRCON8;1x1/2" MOSIĄDZ (NYPLE 1/2-3/4");B;1.000;;1150424;G;TOBI03;14097584;1;1000;STA;SCA;03826;
1021;5;130;GEMSEKO33804;KOLANO 90° 18x1/2" GW STAL SZLACHETNA;33804;MAPRESS;L;5.000;;1161213;I;GEWA01;14264462;1;1000;STE;SCE;03513;
1022;5;130;GEMSEKO33836;KOLANO 90° 28x1" GZ STAL SZLACHETNA;33836;MAPRESS;L;3.000;;1161213;I;GEWA01;14264462;1;2000;STE;SCE;03513;
1023;5;130;GEMSEKO33835;KOLANO 90° 22x3/4" GZ STAL SZLACHETNA;33835;MAPRESS;L;1.000;;1161213;I;GEWA01;14264462;1;3000;STE;SCE;03513;
1024;5;130;GEMSEKO33838;KOLANO 90° 42x11/2" GZ STAL SZLACHETNA;33838;MAPRESS;B;2.000;;1161213;I;GEWA01;14264462;1;4000;STE;SCE;03513;
1025;5;130;GEMSEKO33403;KOLANO ŚCIENNE 15x1/2" GW;33403;STAL SZLACHETNA MAPRESS;L;3.000;;1161213;I;GEWA01;14264462;1;5000;STE;SCE;03513;
1026;5;130;WHITEBAUSTWBM;BATERIA UMYWALKOWA WHITE STOJĄCA WYSOKA;744222810025;BEZ/MECH.ZAM. VIGOUR CHROM;B;1.000;;1170116;S;OROL01;14277719;1;1000;STF;SCF;03681;
1027;5;130;GEPEPL37261;PŁYTKA MONTAŻOWA OKRĄGŁA M10;362837261;;B;11.000;;1160819;I;GEWA01;14151415;1;48000;STE;SCE;03513;
1028;5;130;KXNW27202;NASADA WPUSTU ŁAZIEN SYS.100 KRATKA OVAL;27202;RAMKA STAL NIERDZ.120MM Z SYSTEMEM LOCK;B;1.000;;1161222;S;KEWA01;14274163;1;1000;STG;SCG;03675;
1029;5;130;#XX;PRYSZNIC BEZPIECZEŃSTWA;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1150217;S;ELGD01;14081611;1;1000;SXA;SCA;03826;
1030;5;130;#TMGR2;ZAWÓR ODCINAJĄCY TRÓJOSIOWY PRAWY CHROM;TGZOCR004;GZ 1/2";;1.000;;1141022;G;TEGD01;14050761;1;2000;SXB;SCB;03332;
1031;5;130;#QQKE;NYPEL SPIRO DN100;;UWAGA-KALK.OD C.ZAKUPU;;15.000;;1150226;K;DEDO01;14085536;1;1000;SXB;SCB;03532;
1032;5;130;#DZTI;ZAWÓR BALLOFIX Z KLUCZYKIEM 1/2";3399300000009;UWAGA-KALK.OD C.ZAKUPU;;63.000;;1161122;G;DZDZ01;14252271;1;3000;STE;SCE;03513;
1033;5;130;#DZTI;ZAWÓR BALLOFIX Z KLUCZYKIEM 3/4";3499300000009;UWAGA-KALK.OD C.ZAKUPU;;63.000;;1161122;G;DZDZ01;14252271;1;4000;STE;SCE;03513;
1034;5;130;#REH;UCHWYT Z30;11370751405;RURY I KSZTAŁTKI;;9.000;;1151123;I;REPR02;14151315;1;21000;STA;SCA;03826;
1035;5;130;RMPSR10888;REDUKCJA   108x88.9 STEEL;391108088;STAL WĘGLOWA;B;2.000;;1170119;I;RMMA01;14280660;1;2000;STD;SCD;03852;
1036;5;130;RMPSMP108;MUFA PRZESUWNA  108 STEEL;383108001;STAL WĘGLOWA;B;1.000;;1170119;I;RMMA01;14280660;1;5000;STD;SCD;03852;
1037;5;130;PHOBUST;! BATERIA UMYWALKOWA PHOTON STOJĄCA;PHO100CCCP;Z/KORKIEM CLIK CLAK CHROM;B;1.000;;1170111;S;VACH01;14271884;1;12000;STF;SCF;03681;
1038;5;130;BRX936972;ELEKTRODA JONIZACYJNA DO SGB 90-500;936972;;B;1.000;;1161028;G;BRRA01;14254991;1;2000;STE;SCE;03513;
1039;5;130;#REMF;SZCZĘKA MOCUJĄCA 846123A;846123A;;;1.000;;1161219;I;REPR01;14272070;1;1000;STE;SCE;03675;
1040;5;130;#JF1;PIERŚCIEŃ USZCZELNIAJĄCY 155*5.3 EPDM;JF;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;1.000;;1170119;Z;JAJA01;14280993;1;1000;STG;SCG;03737;
1041;5;130;#JF1;ŚRUBA SPECJALNA A2;JF;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;4.000;;1170119;Z;JAJA01;14280993;1;2000;STG;SCG;03737;
1042;5;130;#JF1;PODKŁADKA A2;JF;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;8.000;;1170120;Z;JAJA01;14280993;1;3000;STG;SCG;03737;
1043;5;130;#JF1;NAKRĘTKA A4;JF;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;4.000;;1170119;Z;JAJA01;14280993;1;4000;STG;SCG;03737;
1044;5;130;MOLZSSCB;ZESTAW SZCZOTKI STOJĄCY MOLL;04969010100;CHROM/BIAŁY;B;1.000;;1150819;S;KEHE01;14125652;1;3000;STF;SCF;03675;
1045;5;130;GEMSEKO32707;KOLANO JEDNOKIELICHOWE 45° 42;32707;STAL SZLACHETNA MAPRESS;L;1.000;;1161219;I;GEWA01;14270767;1;3000;STE;SCE;03513;
1046;5;130;#BRXC;WYŚWIETLACZ ISR;811545;(Grupy rabatowe 42-105);;1.000;;1141104;G;BRRA01;14054679;1;2000;SXE;SCE;03513;
1047;5;130;CCKON338Y1;KONSOLA ŚCIENNA DO GRZEJNIKA SENIOR;103381;L= 65- 80MM (2 UCHWYTY + 2 WSPORNIKI);B;3.000;;1150410;G;WEVE01;14094786;1;13000;STC;SCC;03748;
1048;5;130;HONF76SY11X2A;WKŁAD DO FILTRA F76S I HS10S 6/4"-  2";AF11S112A;100UM;B;1.000;;1161221;U;HOWA01;14272686;1;1000;TMP;TMP;03737;
1049;5;130;HON0900748;USZCZELKI POD KOMORĘ FILTRA HS10S;0900748;11/2" - 2";B;2.000;;1161221;U;HOWA01;14272686;1;2000;TMP;TMP;03737;
1050;5;130;#DTSO;DORNBRACHT MEM GŁOWICA OPEN CYPRUM;1012697049;CENNIK 2016 (OD 01.04.2016);;1.000;;1160421;S;DOIS01;14186810;1;2000;STX;STX;03679;
1051;5;130;#RFGR1;KAMIEŃ DO ZACISKARKI RĘCZNEJ 16;06959525;;;1.000;;1161114;I;TWSZ01;14260607;1;1000;SXE;SCE;03675;
1052;5;130;#BRXA;ELEKTRODA JONIAZACYJNA TRIOBLOC;949194;(Grupy rabatowe 1-20);;1.000;;1161028;G;BRRA01;14252330;1;1000;STE;SCE;03675;
1053;5;130;VRG138B;ZAWÓR VRG138 20-4.0 3xRN1;11603900;ZAWÓR MIESZAJĄCY 3 DROGOWY;B;1.000;;1150825;G;ESPO01;14128988;1;1000;SXB;SCB;03740;
1054;5;130;*WADT;KOLANO Z WYCZYSTKĄ TURBO 110;;WADEX SPALINOWE;;1.000;;1140325;G;WAWR01;13650971;1;8000;STE;SCE;03673;
1055;5;130;HRE3040;ZAWÓR HRE3 DN 40 KVS 25.00 GW PN 6;065Z0421;MIESZAJĄCY 3-DROG. TMAX=110°C;B;1.000;;1150825;G;DACH10;14125064;1;1000;STA;SCA;03821;
1056;5;130;SNPGL9035;ŁUK 90° DWUKIELICHOWY 35;110002A35;MIEDZIANY SANHAPRESS GAZ 10000 I 11000;B;2.000;;1160920;I;SALE01;14237312;1;2000;STE;SCE;03513;
1057;5;130;VZC152206;ZAWÓR VZC152 DN20 2-P 230V G1    KVS 6;43061200;PRZEŁĄCZAJĄCY Z SIŁOWNIKIEM;B;1.000;;1150603;G;ESPO01;14108448;1;4000;STE;SCE;03678;
1058;5;130;BRXB654272;ELEKTRODA JONIZACYJNA DO PALNIKA FURINIT;654272;KOTŁA SGB C/SGB D;B;1.000;;1170119;G;BRRA01;14279324;1;1000;STB;SCB;03740;
1059;5;130;MC4021236P;CIEPŁOMIERZ MC 402 1/2"   0.6M3/H POWRÓT;402WXXXXX1236POW;110MM Z ŚRUBUN.I MID;B;19.000;;1161104;G;KAWA01;14254629;1;1000;STE;SCE;03513;
1060;5;130;TURUI110160;USTNIK SPALINOWY IZOLOWANY TURBO 110/160;885160000;WADEX;B;1.000;;1140325;G;WAWR01;13374773;1;3000;STE;SCE;03513;
1061;5;130;RMPSTS108;TRÓJNIK RÓWNOPRZELOTOWY  108 STEEL;382108000;STAL WĘGLOWA;B;1.000;;1170119;I;RMMA01;14280660;1;3000;STD;SCD;03852;
1062;5;130;#TMGR4;GRZEJNIK ŁAZ.EASY ONE 1600*200;WZEAN160020K916S8;KOLOR RAL9016;PODŁĄCZENIE S8;;1.000;;1170105;G;TEGD01;14269161;1;1000;SXC;SCC;03510;
1063;5;130;#HA4;RECYFIX PRO 100, korytko typ 010, z;48645;rusztem prętowym żeliwnym C250 KTL;;2.000;;1160517;Z;HAPO01;14202746;1;1000;SH2;SHA;03630;
1064;5;130;#HA4;RECYFIX PRO/NC 100, ścianka czołowa typ;47082;010, pełna, tworzywo;;3.000;;1160517;Z;HAPO01;14202746;1;2000;SH2;SHA;03630;
1065;5;130;UCOSZMO14;SZYNA MOCUJĄCA U-PROFIL 14MM C/C50MM 2.5;1005498;M RHC;B;50.000;;1160404;I;UPSO01;14192606;1;3000;SXC;SCC;03727;
1066;5;130;#XX;BATERIA UMYWALKA ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;1000;TMP;TMP;03332;
1067;5;130;#XX;BATERIA WANNOWA ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;3000;TMP;TMP;03332;
1068;5;130;#XX;BATERIA BIDETOWA ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;4000;TMP;TMP;03332;
1069;5;130;#XX;WANNA AKRYL 160X70 ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;6000;TMP;TMP;03332;
1070;5;130;#XX;BRODZIK AKRYL 90X90X6.5 ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;7000;TMP;TMP;03332;
1071;5;130;#XX;UMYWALKA 60X45 ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;8000;TMP;TMP;03332;
1072;5;130;#XX;MISKA WISZĄCA ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;9000;TMP;TMP;03332;
1073;5;130;#XX;DESKA WOLNOOPADAJACA ONE;;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161021;S;BOBE01;14254683;1;10000;TMP;TMP;03332;
1074;5;130;SANOPROBNIK;PRÓBNIK NÓG I UCHWYTÓW SANITAONE;PROBNIK;;B;1.000;;1140116;S;ATBB01;13185312;1;1000;TMP;TMP;03531;
1075;5;130;SANOSU80C;SZAFKA UMYWALKOWA SANITAONE 80x33x41;SANOSU80C;CZARNA TIP-ON (DO UMYWALKI COSIMA 80CM);B;1.000;;1140116;S;ATBB01;13185312;1;2000;TMP;TMP;03531;
1076;5;130;SANOBUS110CNT;BLAT SANITAONE CZARNY 110x50x19;SANOBUS110CNT;TIP-ON NOGA TOCZONA UMYWALKA STAWIANA;B;1.000;;1140116;S;ATBB01;13185312;1;3000;TMP;TMP;03531;
1077;5;130;CONELOPUK30044;CONEL PUR KOLANO 30/ 44MM (11/4");120281;;B;10.000;;1160616;I;IZCM02;14213609;1;2000;STC;SCC;03510;
1078;5;130;CONELOPU30054;CONEL PUR OTULINA 30/ 54MM;112240506;;B;72.000;;1160621;I;IZCM02;14213609;1;4000;STC;SCC;03510;
1079;5;130;*HUKN;ENJOY 4-KĄT DRZ.SKRZYDŁ.SEG.BOC 120/L;;H:2000 CHROM KLAR ANTI-PL;;1.000;;1110923;S;HUPO01;9051093;1;1000;SXB;SCB;03676;
1080;5;130;*HUKN;ENJOY 4-KĄT D.SKRZYDŁ 80/L;;H:2000 CHROM KLAR ANTI-PL;;1.000;;1111220;S;HUPO01;9552295;1;1000;STX;STX;03648;
1081;5;130;*HUKN;ENJOY 4-KĄT SW SWT FS 80/P;;H:2000 CHROM KLAR ANTI-PL;;1.000;;1120419;S;HUPO01;10151693;1;2000;SXB;SCB;03332;
1082;5;130;#HUKN;DRZWI DO WNĘKI ENJOY ELEGANCE W RAMIE;.HUKN;900X2000 PRAWE CHROM MAT AN-PLAQUE KLAR;;1.000;;1141020;S;HUPO01;14054168;1;1000;STX;STX;03332;
1083;5;130;#DKKN1;ŚCIANKA BOCZNA WOLNOSTOJĄCA LIBERO 4000;PE6WZ1200200SILA10P;1200X2000 SREBRNY MAT,PRZEZROCZYSTE;;1.000;;1150317;S;DUBR01;14085506;1;3000;SXB;SCB;03332;
1084;5;130;#HUKN;PARAWAN 501 NAWANNOWY 730;512401092321;SZKŁO CZYSTE PROFIL CHROM;;1.000;;1140926;S;HUPO01;14039632;1;1000;TMP;TMP;03332;
1085;5;130;*SSXXK;CZĘŚĆ ZAMIENNA SZYBA;;STAŁA - SZKŁO HARTOWANE;;1.000;;1151117;S;SAST01;14088705;1;12100;STB;SCB;03675;
1086;5;130;#DRAVC;DURAVIT BRODZIK DURAPLAN 80 MONTOWANY;720079000000000;W POSADZCE;;1.000;;1150804;S;DUHO01;14121728;1;7100;STE;SCE;03648;
1087;5;130;NIKEOW160;OBUDOWA WANNY NIKE 160;S401029;BIAŁA;B;1.000;;1151008;S;CEKI01;14140137;1;1000;SXC;SCC;03727;
1088;5;130;NIKEOW70B;OBUDOWA WANNY NIKE 70 BOCZNA;S401031;BIAŁA;B;1.000;;1151008;S;CEKI01;14140137;1;2000;SXC;SCC;03727;
1089;5;130;TDEX11264;GRZEJNIK DEXTER 1220x400 (487W);WGDEX122040K916SX;ŁAZIENKOWY BIAŁY;B;1.000;;1160201;G;TEGD01;14175259;1;1000;STX;STX;03648;
1090;5;130;TZRODBI;ZAWÓR ODCINAJĄCY KĄTOWY GZ 1/2" BIAŁY;TGZOBI006;.;B;1.000;;1160201;G;TEGD01;14175259;1;3000;STX;STX;03648;
1091;5;130;#HUKN;ŚCIANKA BOCZNA WOLNOSTOJĄCA;4R1280092322;70X2000 PURE MOCOWANIE PRAWE -SKOŚNY;;1.000;;1170110;S;HUPO01;14255601;1;1000;STF;SCF;03682;
1092;5;130;KALSW80SKP;ŚCIANKA WOLNOSTOJĄCA 80x195 KALI H;KALIH801B;SREBRNY/KLAR/CRYSTAL CLEAR;B;1.000;;1161222;S;NOOW01;14273362;1;12000;STF;SCF;03681;
1093;5;130;XTEDR140SPA1LP;DRZWI WALK-IN 1201-1400 H=2000 XTENSA L;XT0105069322;SR.POŁYSK/KLAR ANTI-PLAQUE;B;1.000;;1170110;S;HUPO01;14274577;1;6000;STF;SCF;03680;
1094;5;130;EN2PR080SPA1AP;KABINA PÓŁOKRĄGŁA 80*190 ENA 2.0 R55;140603069322;SREBR.POŁ./KLAR ANTY-PL. SUWANA;B;1.000;;1170110;S;HUPO01;14274577;1;18000;STF;SCF;03680;
1095;5;130;COSIMA1206A14;GRZEJNIK COSIMA 1206 1210x596 (677W);15001111581514;SZARY MAT;B;1.000;;1170120;G;GOWO01;14275210;1;5000;STB;SCB;03740;
1096;5;130;KALDWO80SKP;DRZWI DO WNĘKI 76/82x195 KALI G;KALIG761B;SKRZYDŁO SREBRNY/KLAR/CRYSTAL CLEAR;B;1.000;;1170112;S;NOOW01;14279122;1;9000;STG;SCG;03680;
1097;5;130;PACBN12080A;BRODZIK PROSTOKĄTNY PACYFIK 120x80x5;XBP0780101;BIAŁY (Ź90) ANTISLIDE;B;1.000;;1170113;S;GEWA01;14280074;1;3000;SXC;SCC;03843;
